# APOGEE_ID,NVISITS,SNR,J,J_ERR,H,H_ERR,K,K_ERR,AK,AK_SRC,RA,DEC,GLON,GLAT,PMRA,PMDEC,PM_SRC,TEFF,TEFF_ERR,LOGG,LOGG_ERR,FE_H,FE_H_ERR,SPARAMTYPE,STARTYPE,MSTAR,MSTAR_ERR,RSTAR,RSTAR_ERR,DIST,DIST_ERR,MSTAR_SRC,VJITTER,BASELINE,SIGMA_V,SIG_RVVAR,PERIOD,PERIOD_ERR,SEMIAMP,SEMIAMP_ERR,ECC,ECC_ERR,OMEGA,T0,TPERI,V0,SLOPE,NITER,CHI2,DOF,FIT_RMS,PUI,VUI,MASSFN,MSINI,SEMIMAJ,
2M20122312+1922250,13,114.714,13.621,0.036,13.144,0.036,13.021,0.03,0.0660957,RJCE_WISE_OPS    ,303.096352,19.373617,59.5723122613,-7.99881238202,-4.9,-3.8,NOMAD               ,5308.31,91.4667,3.54221,0.106893,0.203142,0.0355298,1,RG ,1.81109,0.744509,0.0175593,0.00289077,2850.8,272.285,3,14.0435,760.887,155.461959839,4.27752923965,157.25701604,1.08337437846,999.779206762,135.152153454,0.0586924567972,0.0887810900552,-2.55432717781,2456218.61967,2456270.12646,14444.9630179,0,14,9.82343221694,8,156.171187409,0.85847556591,0.914606511593,1.61993080177e-05,0.0381201578462,0.685411955417,
2M20123077+1850399,13,111.187,13.674,0.029,13.189,0.035,12.99,0.03,0.086292,RJCE_WISE_OPS    ,303.128235,18.844429,59.1377347007,-8.3084728586,0,0,NOMAD               ,5031.65,91.4667,3.47856,0.106893,0.214827,0.0345249,1,RG ,1.45918,0.540618,0.0169596,0.00234823,2596.85,63.1623,3,15.3521,760.887,130.321289062,7.56048154831,98.6692875561,0.4265033865,805.799406569,140.519684138,0.249570303934,0.114249286773,3.0435543626,2456093.1111,2456108.65758,-1849281.65007,0.761640031227,10,5.513195783,7,114.467924258,0.921519994736,0.890707194805,4.85725583536e-06,0.0220057600282,0.469266229004,
2M20130687+2044173,13,97.6144,13.807,0.025,13.232,0.032,13.153,0.031,0.0229507,RJCE_WISE_OPS    ,303.278652,20.73815,60.8251215732,-7.407239355,8,-10,NOMAD               ,4977.13,91.4667,3.32938,0.106893,-0.0533689,0.0370453,1,RG ,1.46891,1.7257,0.0202046,0.0116049,3431.65,12.0431,3,18.9177,760.887,164.465118408,9.13429450989,17.931923305,0.0140867966229,2201.49076358,249.142207384,0.609334933715,0.096446509055,-2.35794207874,2456090.01783,2456093.27271,29914.5522655,0,17,11.4528193609,8,180.678762745,0.902109563351,0.95599001646,9.88271101688e-06,0.0280826503587,0.150497532987,
2M20183197+1953430,13,121.447,13.401,0.025,12.861,0.024,12.741,0.033,0.100062,RJCE_WISE_OPS    ,304.633241,19.895283,60.8094250645,-8.9316543722,-5.5,-8.1,NOMAD               ,5129.42,91.4667,3.31193,0.106893,0.163047,0.0349692,1,RG ,2.28169,0.983489,0.0256924,0.00454566,3533.63,140.218,3,19.3855,760.887,124.647575378,202.952636719,51.2953578697,0.115269557846,35065.0076043,49.7988630015,0.0131895362416,0.00110923001475,1.3785402432,2456106.08875,2456104.55994,-3966.87725842,0,18,5.46139199901,8,82.3629468445,0.943462133408,0.91912406683,0.229091320157,1.47994685645,0.254874798969,
2M20443307+5040001,11,81.8294,13.685,0.023,13.009,0.022,12.82,0.037,0.13311,RJCE_WISE_OPS    ,311.13782,50.666702,88.8597833921,4.90174284493,0,0,NOMAD               ,3855,91.5,4.4461,0.11,-0.21751,0.05,2,MS ,0.512136,0.0327767,0.00317852,0.000101713,367.194,119.975,0,3.9622,631.251,317.083862305,3.110683918,28.1077322214,0.0417184583508,2112.56932697,287.291885206,0.459338900146,0.0826447748559,-1.74549086086,2456205.68106,2456217.87722,-1067659.04057,0.426171120607,16,3.11814858868,5,186.351684982,0.816743671894,0.854910731316,1.92443273971e-05,0.0175430341584,0.14153380009,
2M20455210+5138327,11,87.0237,14.094,0.031,13.206,0.03,12.864,0.036,0.38556,RJCE_WISE_OPS    ,311.467095,51.642422,89.757749941,5.34306696547,0,0,NOMAD               ,4988.69,91.4667,3.24418,0.106893,0.144961,0.0349332,1,RG ,2.20108,1.06538,0.0272816,0.00568514,3421.09,175.247,3,21.314,631.251,137.115081787,10.776638031,27.2009082253,0.0390700031977,3321.66441316,17286.8278157,0.799686692392,0.797650062634,0.134796234392,2456217.50228,2456216.90686,-9310735.15685,3.76926185853,18,6.93840985229,5,154.940683022,0.947426617146,0.541592717171,2.23579933764e-05,0.0483645328724,0.22693651457,
2M20472800+5111090,10,123.125,13.823,0.026,12.848,0.025,12.552,0.031,0.463589,RJCE_WISE_OPS    ,311.866675,51.185841,89.5544928759,4.86391641372,0,0,NOMAD               ,4784.38,91.4667,2.67642,0.106893,-0.361506,0.039168,1,RG ,1.24986,0.413708,0.0395241,0.00437378,4084.13,107.613,3,47.1898,631.251,100.056144714,79.7354888916,498.714308366,13.1334944078,13846.5354071,484.62723164,0.402978719043,0.0296547923696,0.315209202503,2456272.99168,2456227.54076,21853732.5043,-8.91260478989,10,7.18552209278,4,85.6220442387,0.689465224743,0.91983962059,0.105161949655,0.748969358826,0.969419422679,
2M20511111+5054053,11,92.6738,14.487,0.037,13.271,0.031,13.01,0.04,0.517752,RJCE_WISE_OPS    ,312.796303,50.901497,89.7016856512,4.23072233931,0,0,none                ,4984.91,91.4667,2.78112,0.106893,0.0275381,0.036805,1,RG ,2.8626,6.32795,0.0530227,0.0582405,6707.15,185.202,3,40.7561,631.251,159.249923706,2.75366330147,14.6402874816,0.01131816044,913.480078623,841.661579778,0.555407273225,0.313203070338,3.0779108341,2456219.43185,2456220.56126,-157009.92751,0.0398227334236,24,4.56203388875,5,157.07455228,0.940310537815,0.843381226063,6.64934184772e-07,0.0176691243708,0.165615164086,
2M20512287+5144445,11,116.671,13.64,0.025,12.874,0.019,12.639,0.031,0.184517,RJCE_WISE_OPS    ,312.845323,51.745708,90.3761065342,4.74216554194,-4,-8,NOMAD               ,4946.24,91.4667,3.32972,0.106893,0.0368132,0.0345972,1,RG ,1.2441,1.97624,0.018587,0.0145843,2298.61,133.907,3,18.9086,631.251,103.689712524,207.316848755,107.288436657,0.60783047487,34971.3966533,143.365718088,0.68905813118,0.00175594390575,2.05556323448,2456310.89085,2456312.03162,4959375.99033,-2.06052089258,21,22.3533596512,5,181.876299665,0.942964553833,0.877335727215,0.180967107827,0.957134678617,0.324873284221,
2M20525666+4958258,9,122.401,12.895,0.026,12.293,0.03,12.115,0.025,0.185436,RJCE_WISE_OPS    ,313.236106,49.973854,89.1633284654,3.4242192358,2,2,NOMAD               ,5671.7,91.5,4.01999,0.11,0.27107,0.05,2,SG ,1.25527,0.0803374,0.00830614,0.000265796,895.553,2913.65,0,7.19446,519.601,135.545715332,286.705535889,34.1270744902,0.0747148290276,35773.52264,49.6435842307,0.100122275713,0.00167183806627,-0.330346897114,2455743.29701,2455734.0238,-13692.6343369,0,21,6.0675780884,4,99.9996294666,0.988067269325,0.815004348755,0.159456772128,0.906643133306,0.154588298907,
